Região,Período,Casos_Hospitalares,Ano,Mês,Mês_Num,Data,Ano_Num,Trimestre,Semestre
Região Norte,2010/Jul,2.0,2010,Jul,7,2010-07-01,2010,3,2
Região Nordeste,2010/Jul,8.0,2010,Jul,7,2010-07-01,2010,3,2
Região Sudeste,2010/Jul,26.0,2010,Jul,7,2010-07-01,2010,3,2
Região Sul,2010/Jul,10.0,2010,Jul,7,2010-07-01,2010,3,2
Região Centro-Oeste,2010/Jul,5.0,2010,Jul,7,2010-07-01,2010,3,2
Região Norte,2010/Ago,4.0,2010,Ago,8,2010-08-01,2010,3,2
Região Nordeste,2010/Ago,9.0,2010,Ago,8,2010-08-01,2010,3,2
Região Sudeste,2010/Ago,23.0,2010,Ago,8,2010-08-01,2010,3,2
Região Sul,2010/Ago,9.0,2010,Ago,8,2010-08-01,2010,3,2
Região Centro-Oeste,2010/Ago,2.0,2010,Ago,8,2010-08-01,2010,3,2
Região Norte,2010/Set,2.0,2010,Set,9,2010-09-01,2010,3,2
Região Nordeste,2010/Set,7.0,2010,Set,9,2010-09-01,2010,3,2
Região Sudeste,2010/Set,22.0,2010,Set,9,2010-09-01,2010,3,2
Região Sul,2010/Set,7.0,2010,Set,9,2010-09-01,2010,3,2
Região Centro-Oeste,2010/Set,3.0,2010,Set,9,2010-09-01,2010,3,2
Região Norte,2010/Out,3.0,2010,Out,10,2010-10-01,2010,4,2
Região Nordeste,2010/Out,6.0,2010,Out,10,2010-10-01,2010,4,2
Região Sudeste,2010/Out,20.0,2010,Out,10,2010-10-01,2010,4,2
Região Sul,2010/Out,12.0,2010,Out,10,2010-10-01,2010,4,2
Região Centro-Oeste,2010/Out,5.0,2010,Out,10,2010-10-01,2010,4,2
Região Norte,2010/Nov,1.0,2010,Nov,11,2010-11-01,2010,4,2
Região Nordeste,2010/Nov,9.0,2010,Nov,11,2010-11-01,2010,4,2
Região Sudeste,2010/Nov,23.0,2010,Nov,11,2010-11-01,2010,4,2
Região Sul,2010/Nov,12.0,2010,Nov,11,2010-11-01,2010,4,2
Região Centro-Oeste,2010/Nov,1.0,2010,Nov,11,2010-11-01,2010,4,2
Região Norte,2010/Dez,2.0,2010,Dez,12,2010-12-01,2010,4,2
Região Nordeste,2010/Dez,6.0,2010,Dez,12,2010-12-01,2010,4,2
Região Sudeste,2010/Dez,23.0,2010,Dez,12,2010-12-01,2010,4,2
Região Sul,2010/Dez,6.0,2010,Dez,12,2010-12-01,2010,4,2
Região Centro-Oeste,2010/Dez,7.0,2010,Dez,12,2010-12-01,2010,4,2
Região Norte,2011/Jan,3.0,2011,Jan,1,2011-01-01,2011,1,1
Região Nordeste,2011/Jan,7.0,2011,Jan,1,2011-01-01,2011,1,1
Região Sudeste,2011/Jan,20.0,2011,Jan,1,2011-01-01,2011,1,1
Região Sul,2011/Jan,8.0,2011,Jan,1,2011-01-01,2011,1,1
Região Centro-Oeste,2011/Jan,4.0,2011,Jan,1,2011-01-01,2011,1,1
Região Norte,2011/Fev,2.0,2011,Fev,2,2011-02-01,2011,1,1
Região Nordeste,2011/Fev,14.0,2011,Fev,2,2011-02-01,2011,1,1
Região Sudeste,2011/Fev,22.0,2011,Fev,2,2011-02-01,2011,1,1
Região Sul,2011/Fev,6.0,2011,Fev,2,2011-02-01,2011,1,1
Região Centro-Oeste,2011/Fev,2.0,2011,Fev,2,2011-02-01,2011,1,1
Região Norte,2011/Mar,4.0,2011,Mar,3,2011-03-01,2011,1,1
Região Nordeste,2011/Mar,7.0,2011,Mar,3,2011-03-01,2011,1,1
Região Sudeste,2011/Mar,14.0,2011,Mar,3,2011-03-01,2011,1,1
Região Sul,2011/Mar,6.0,2011,Mar,3,2011-03-01,2011,1,1
Região Centro-Oeste,2011/Mar,,2011,Mar,3,2011-03-01,2011,1,1
Região Norte,2011/Abr,3.0,2011,Abr,4,2011-04-01,2011,2,1
Região Nordeste,2011/Abr,9.0,2011,Abr,4,2011-04-01,2011,2,1
Região Sudeste,2011/Abr,14.0,2011,Abr,4,2011-04-01,2011,2,1
Região Sul,2011/Abr,5.0,2011,Abr,4,2011-04-01,2011,2,1
Região Centro-Oeste,2011/Abr,2.0,2011,Abr,4,2011-04-01,2011,2,1
Região Norte,2011/Mai,,2011,Mai,5,2011-05-01,2011,2,1
Região Nordeste,2011/Mai,9.0,2011,Mai,5,2011-05-01,2011,2,1
Região Sudeste,2011/Mai,21.0,2011,Mai,5,2011-05-01,2011,2,1
Região Sul,2011/Mai,6.0,2011,Mai,5,2011-05-01,2011,2,1
Região Centro-Oeste,2011/Mai,3.0,2011,Mai,5,2011-05-01,2011,2,1
Região Norte,2011/Jun,2.0,2011,Jun,6,2011-06-01,2011,2,1
Região Nordeste,2011/Jun,14.0,2011,Jun,6,2011-06-01,2011,2,1
Região Sudeste,2011/Jun,16.0,2011,Jun,6,2011-06-01,2011,2,1
Região Sul,2011/Jun,5.0,2011,Jun,6,2011-06-01,2011,2,1
Região Centro-Oeste,2011/Jun,2.0,2011,Jun,6,2011-06-01,2011,2,1
Região Norte,2011/Jul,3.0,2011,Jul,7,2011-07-01,2011,3,2
Região Nordeste,2011/Jul,12.0,2011,Jul,7,2011-07-01,2011,3,2
Região Sudeste,2011/Jul,31.0,2011,Jul,7,2011-07-01,2011,3,2
Região Sul,2011/Jul,12.0,2011,Jul,7,2011-07-01,2011,3,2
Região Centro-Oeste,2011/Jul,5.0,2011,Jul,7,2011-07-01,2011,3,2
Região Norte,2011/Ago,2.0,2011,Ago,8,2011-08-01,2011,3,2
Região Nordeste,2011/Ago,5.0,2011,Ago,8,2011-08-01,2011,3,2
Região Sudeste,2011/Ago,23.0,2011,Ago,8,2011-08-01,2011,3,2
Região Sul,2011/Ago,10.0,2011,Ago,8,2011-08-01,2011,3,2
Região Centro-Oeste,2011/Ago,5.0,2011,Ago,8,2011-08-01,2011,3,2
Região Norte,2011/Set,3.0,2011,Set,9,2011-09-01,2011,3,2
Região Nordeste,2011/Set,9.0,2011,Set,9,2011-09-01,2011,3,2
Região Sudeste,2011/Set,19.0,2011,Set,9,2011-09-01,2011,3,2
Região Sul,2011/Set,10.0,2011,Set,9,2011-09-01,2011,3,2
Região Centro-Oeste,2011/Set,5.0,2011,Set,9,2011-09-01,2011,3,2
Região Norte,2011/Out,3.0,2011,Out,10,2011-10-01,2011,4,2
Região Nordeste,2011/Out,10.0,2011,Out,10,2011-10-01,2011,4,2
Região Sudeste,2011/Out,15.0,2011,Out,10,2011-10-01,2011,4,2
Região Sul,2011/Out,10.0,2011,Out,10,2011-10-01,2011,4,2
Região Centro-Oeste,2011/Out,5.0,2011,Out,10,2011-10-01,2011,4,2
Região Norte,2011/Nov,1.0,2011,Nov,11,2011-11-01,2011,4,2
Região Nordeste,2011/Nov,4.0,2011,Nov,11,2011-11-01,2011,4,2
Região Sudeste,2011/Nov,15.0,2011,Nov,11,2011-11-01,2011,4,2
Região Sul,2011/Nov,4.0,2011,Nov,11,2011-11-01,2011,4,2
Região Centro-Oeste,2011/Nov,7.0,2011,Nov,11,2011-11-01,2011,4,2
Região Norte,2011/Dez,1.0,2011,Dez,12,2011-12-01,2011,4,2
Região Nordeste,2011/Dez,4.0,2011,Dez,12,2011-12-01,2011,4,2
Região Sudeste,2011/Dez,20.0,2011,Dez,12,2011-12-01,2011,4,2
Região Sul,2011/Dez,6.0,2011,Dez,12,2011-12-01,2011,4,2
Região Centro-Oeste,2011/Dez,7.0,2011,Dez,12,2011-12-01,2011,4,2
Região Norte,2012/Jan,,2012,Jan,1,2012-01-01,2012,1,1
Região Nordeste,2012/Jan,11.0,2012,Jan,1,2012-01-01,2012,1,1
Região Sudeste,2012/Jan,17.0,2012,Jan,1,2012-01-01,2012,1,1
Região Sul,2012/Jan,3.0,2012,Jan,1,2012-01-01,2012,1,1
Região Centro-Oeste,2012/Jan,4.0,2012,Jan,1,2012-01-01,2012,1,1
Região Norte,2012/Fev,2.0,2012,Fev,2,2012-02-01,2012,1,1
Região Nordeste,2012/Fev,8.0,2012,Fev,2,2012-02-01,2012,1,1
Região Sudeste,2012/Fev,23.0,2012,Fev,2,2012-02-01,2012,1,1
Região Sul,2012/Fev,10.0,2012,Fev,2,2012-02-01,2012,1,1
Região Centro-Oeste,2012/Fev,1.0,2012,Fev,2,2012-02-01,2012,1,1
Região Norte,2012/Mar,8.0,2012,Mar,3,2012-03-01,2012,1,1
Região Nordeste,2012/Mar,10.0,2012,Mar,3,2012-03-01,2012,1,1
Região Sudeste,2012/Mar,19.0,2012,Mar,3,2012-03-01,2012,1,1
Região Sul,2012/Mar,4.0,2012,Mar,3,2012-03-01,2012,1,1
Região Centro-Oeste,2012/Mar,5.0,2012,Mar,3,2012-03-01,2012,1,1
Região Norte,2012/Abr,2.0,2012,Abr,4,2012-04-01,2012,2,1
Região Nordeste,2012/Abr,8.0,2012,Abr,4,2012-04-01,2012,2,1
Região Sudeste,2012/Abr,17.0,2012,Abr,4,2012-04-01,2012,2,1
Região Sul,2012/Abr,7.0,2012,Abr,4,2012-04-01,2012,2,1
Região Centro-Oeste,2012/Abr,6.0,2012,Abr,4,2012-04-01,2012,2,1
Região Norte,2012/Mai,4.0,2012,Mai,5,2012-05-01,2012,2,1
Região Nordeste,2012/Mai,11.0,2012,Mai,5,2012-05-01,2012,2,1
Região Sudeste,2012/Mai,22.0,2012,Mai,5,2012-05-01,2012,2,1
Região Sul,2012/Mai,4.0,2012,Mai,5,2012-05-01,2012,2,1
Região Centro-Oeste,2012/Mai,6.0,2012,Mai,5,2012-05-01,2012,2,1
Região Norte,2012/Jun,1.0,2012,Jun,6,2012-06-01,2012,2,1
Região Nordeste,2012/Jun,7.0,2012,Jun,6,2012-06-01,2012,2,1
Região Sudeste,2012/Jun,20.0,2012,Jun,6,2012-06-01,2012,2,1
Região Sul,2012/Jun,8.0,2012,Jun,6,2012-06-01,2012,2,1
Região Centro-Oeste,2012/Jun,4.0,2012,Jun,6,2012-06-01,2012,2,1
Região Norte,2012/Jul,,2012,Jul,7,2012-07-01,2012,3,2
Região Nordeste,2012/Jul,14.0,2012,Jul,7,2012-07-01,2012,3,2
