 Imunizações - Doses Aplicadas - Brasil ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doses_aplicadas por Capital segundo Ano/mês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Imunobiológicos:BCG (BCG),Haemophilus influenzae tipo b (Hib),Meningococo A/C (MnAC),Meningococo B/C (MnBC),Meningocócica Conjugada - C (MncC),Pentavalente (DTP+HB+Hib) (PENTA),Pneumocócica 10valente,Pneumocócica Conjugada 7 Valente (Pnc7),Pneumocócica Polissacarídica 23 Valente (Pn23),Pneumocócica 13 valente,Tetravalente (DTP/Hib) (TETRA),Penta inativada (DTPa/Hib/Vip),Meningocócica ACWY135,Meningocócica  B; Ano:1994-2022; ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano/mês;Porto Velho;Rio Branco;Manaus;Boa Vista;Belém;Macapá;Palmas;São Luís;Teresina;Fortaleza;Natal;João Pessoa;Recife;Maceió;Aracaju;Salvador;Belo Horizonte;Vitória;Rio de Janeiro;São Paulo;Curitiba;Florianópolis;Porto Alegre;Campo Grande;Cuiabá;Goiânia;Brasília;Ignorado; Total
2007/Jun;2.957;3.304;14.654;2.483;11.427;2.759;1.451;7.928;5.120;16.101;4.143;5.385;9.191;5.931;3.015;13.679;11.691;2.180;29.309;80.006;10.377;1.754;7.106;5.314;4.062;9.755;16.696;906.535;1.194.313
2007/Jul;2.726;2.684;14.107;2.002;9.030;2.887;1.422;7.927;5.151;12.978;4.192;4.867;8.882;6.250;3.086;14.257;10.626;2.620;28.281;66.882;9.487;2.116;6.085;3.963;3.418;9.880;16.914;795.980;1.058.700
2007/Ago;2.966;2.737;14.414;2.277;9.294;2.373;1.555;8.508;5.311;16.648;4.921;5.287;11.257;5.309;3.837;16.414;12.297;2.200;32.268;84.373;11.057;2.103;6.289;4.605;3.738;9.245;18.659;922.485;1.222.427
2007/Set;2.365;2.837;10.351;1.836;10.832;3.202;1.324;6.913;5.061;12.569;4.252;4.753;8.040;5.117;3.852;12.387;9.214;1.808;27.801;62.529;8.188;1.847;6.220;4.681;4.524;9.988;14.804;774.571;1.021.866
2007/Out;2.685;2.732;16.390;1.984;8.751;3.043;1.480;8.556;5.061;15.251;4.980;5.106;8.779;5.132;3.470;15.152;11.586;1.968;24.388;61.502;10.065;1.956;6.321;6.045;3.533;10.226;19.005;823.125;1.088.272
2007/Nov;2.848;2.666;12.397;1.954;10.187;2.720;1.418;8.258;5.121;13.465;4.403;4.594;8.998;4.362;3.563;12.741;10.793;2.043;23.576;67.867;9.219;1.939;5.818;4.454;3.995;10.323;16.847;794.769;1.051.338
2007/Dez;0;2.640;12.488;2.052;9.121;2.529;1.143;6.546;4.481;12.898;3.980;4.472;7.765;0;3.070;9.931;11.333;1.842;23.392;58.439;8.019;1.729;5.487;3.595;3.607;10.128;14.954;710.798;936.439
2008/Jan;2.378;2.668;14.649;2.291;9.423;3.328;1.500;9.076;4.948;11.691;4.522;5.407;8.283;5.934;3.427;11.475;12.937;2.337;29.999;76.173;9.975;2.291;6.868;5.159;3.085;9.600;16.728;888.297;1.164.449
2008/Fev;2.318;2.400;12.117;2.181;8.940;2.601;1.251;7.363;4.810;12.887;4.272;2.962;8.124;4.983;2.968;12.268;11.429;1.741;28.084;68.055;8.479;2.540;5.829;4.165;4.058;10.457;16.003;766.088;1.019.373
2008/Mar;2.607;2.857;13.070;2.110;9.374;3.164;1.314;8.591;4.541;12.378;4.450;4.553;8.154;3.856;2.937;9.579;9.782;2.205;29.015;67.373;9.820;2.318;5.634;4.462;3.604;9.824;16.612;773.789;1.027.973
2008/Abr;2.827;2.989;13.165;1.892;9.775;3.374;1.310;7.741;5.068;13.648;4.595;4.841;9.029;5.324;3.006;9.237;11.908;2.124;27.792;85.369;9.112;2.079;6.057;4.147;3.604;8.529;20.655;811.426;1.090.623
2008/Mai;2.531;3.123;12.491;2.037;8.976;3.346;1.366;7.913;4.727;11.789;4.751;4.300;8.214;4.308;2.953;12.141;11.906;3.481;25.727;97.823;9.740;2.433;6.187;5.390;3.872;9.156;23.263;804.542;1.098.486
2008/Jun;2.718;3.187;15.587;2.091;10.046;3.347;1.385;8.145;5.173;13.204;4.104;5.248;8.738;2.991;3.426;8.871;12.701;1.748;29.578;77.493;9.635;2.174;6.685;4.729;3.521;13.526;16.066;866.446;1.142.563
2008/Jul;2.700;2.475;13.364;3.789;8.121;3.063;1.364;7.776;4.751;12.743;3.779;4.717;8.509;1.297;3.665;13.089;13.964;2.191;29.231;74.775;9.985;1.961;6.209;5.119;3.986;7.915;17.036;804.802;1.072.376
2008/Ago;2.635;2.772;14.556;2.617;10.133;2.853;1.324;8.562;5.006;15.445;3.500;5.061;8.735;3.376;3.463;13.394;12.732;1.899;28.185;74.382;10.028;2.082;6.768;5.664;3.383;11.845;16.843;884.349;1.161.592
2008/Set;2.803;2.787;14.344;2.340;9.167;3.605;1.350;7.663;4.878;15.039;3.092;4.388;8.450;3.408;3.207;12.896;12.638;3.260;27.409;69.766;10.209;2.321;6.306;4.831;3.714;10.987;16.978;795.685;1.063.521
2008/Out;2.878;2.842;13.755;1.998;8.963;3.149;1.388;7.887;4.989;9.317;4.280;4.527;8.435;4.652;3.343;12.455;11.960;2.438;30.274;72.936;10.303;1.995;6.040;5.086;3.391;9.037;17.284;809.462;1.075.064
2008/Nov;2.645;2.683;13.304;2.303;10.879;2.947;1.359;8.358;5.219;13.991;4.682;4.732;10.021;3.975;3.599;12.961;15.097;2.921;27.100;67.934;9.805;2.065;7.367;4.592;3.980;8.352;16.030;794.093;1.062.994
2008/Dez;2.470;2.693;12.936;1.626;9.190;2.821;1.253;7.418;4.604;11.843;4.366;3.662;8.084;4.392;3.299;11.724;15.810;2.052;27.463;64.586;8.872;2.190;6.320;3.971;3.110;9.141;16.968;729.507;982.371
2009/Jan;2.923;2.673;15.862;2.042;8.890;3.716;1.626;8.524;5.319;15.597;5.027;4.362;9.569;6.485;2.599;13.931;14.842;2.718;30.308;78.745;11.206;2.813;6.313;6.061;4.766;12.286;18.096;842.843;1.140.142
2009/Fev;2.377;2.761;14.497;2.386;10.025;2.528;1.245;6.873;4.511;12.035;4.415;4.133;7.544;5.345;2.798;11.213;11.745;1.947;26.525;66.377;9.285;2.167;5.656;4.182;2.841;10.023;15.153;758.778;1.009.365
2009/Mar;2.886;2.604;14.178;2.001;8.896;4.051;1.640;9.250;5.524;15.248;4.349;4.718;8.904;5.206;3.424;13.629;15.458;2.870;32.068;77.250;11.173;2.842;6.839;5.064;4.325;10.883;19.259;855.849;1.150.388
2009/Abr;2.721;2.757;14.878;2.267;9.273;3.209;1.460;7.359;4.958;13.237;4.244;4.729;8.556;5.761;2.576;11.778;13.985;2.432;29.264;95.999;9.912;2.295;6.056;5.188;4.157;10.678;20.168;831.701;1.131.598
2009/Mai;2.967;2.693;14.680;2.587;9.227;3.483;1.479;8.139;5.296;12.856;4.777;4.168;7.283;5.758;3.161;12.474;14.726;2.590;28.615;105.667;10.026;2.257;5.677;5.262;3.849;9.155;19.803;847.417;1.156.072
2009/Jun;2.884;3.347;13.726;2.158;9.393;3.241;1.483;8.585;5.024;15.268;5.080;4.951;6.506;6.089;3.142;14.810;15.451;2.242;28.878;79.376;10.557;2.008;7.438;5.693;3.599;10.307;17.764;866.192;1.155.192
2009/Jul;2.876;2.539;13.607;1.994;6.837;3.232;1.486;7.822;4.319;13.749;4.414;4.259;9.115;6.071;3.276;14.090;12.351;2.897;26.508;70.350;9.651;2.930;6.362;5.062;3.267;10.734;18.929;791.497;1.060.224
2009/Ago;2.749;2.755;14.790;2.530;9.343;3.045;1.467;7.905;4.909;14.817;4.341;4.423;9.246;5.710;3.806;13.415;10.857;1.833;31.123;73.759;9.944;2.267;6.556;4.677;4.057;7.448;17.320;820.623;1.095.715
2009/Set;3.002;3.259;15.999;2.810;9.643;3.795;1.390;8.557;4.999;15.695;4.344;4.575;9.376;6.294;3.977;14.472;14.192;2.539;31.566;81.497;10.078;2.720;7.106;5.112;3.930;9.603;18.890;843.387;1.142.807
2009/Out;2.677;2.449;14.707;2.681;8.822;2.911;1.572;8.117;4.957;12.763;4.847;4.564;8.485;6.002;3.333;8.364;17.065;1.679;19.545;68.623;9.781;2.398;6.041;4.223;3.480;8.152;17.501;772.546;1.028.285
2009/Nov;2.706;2.975;15.284;2.063;9.170;3.228;1.513;8.346;5.059;13.527;4.659;5.178;9.192;6.223;3.278;14.584;46.710;2.936;28.637;73.779;10.504;2.470;7.121;5.027;3.374;11.194;16.778;1.161.608;1.477.123
2009/Dez;2.478;2.698;12.881;1.519;9.670;2.390;1.406;7.437;4.237;11.423;4.133;4.358;8.762;5.463;3.457;12.602;16.807;2.488;25.057;67.410;9.546;2.396;6.069;4.271;2.815;14.974;18.565;769.518;1.034.830
2010/Jan;2.687;2.607;15.293;2.097;9.809;3.283;1.568;8.595;5.168;14.997;4.904;4.159;8.671;5.790;3.130;12.769;21.742;2.366;30.673;72.025;10.868;2.619;6.453;5.894;3.462;12.504;18.470;884.941;1.177.544
2010/Fev;2.407;2.266;14.192;2.059;8.658;2.834;1.312;7.635;4.684;12.254;4.334;4.298;7.524;5.069;3.203;101.387;21.166;2.391;25.771;69.550;9.819;2.382;5.591;4.519;3.090;9.477;15.500;854.874;1.208.246
2010/Mar;3.035;2.511;16.246;2.148;9.833;3.844;1.682;8.467;5.395;14.528;5.344;6.866;15.135;5.649;3.450;54.140;37.408;5.643;32.011;115.883;10.899;6.218;6.787;8.949;3.175;10.722;19.458;1.365.967;1.781.393
2010/Abr;2.934;2.538;15.610;5.160;8.874;2.884;2.256;7.017;4.431;12.501;4.629;9.387;15.593;4.424;3.207;54.309;28.836;4.137;27.377;155.751;19.537;4.405;5.404;13.729;3.972;9.067;16.253;1.461.985;1.906.207
2010/Mai;4.358;2.495;15.175;4.046;8.786;2.450;3.413;7.459;4.850;12.810;6.897;7.019;15.457;5.326;3.768;76.806;33.295;5.425;29.319;134.952;15.653;2.420;6.779;8.447;4.188;10.023;19.900;1.387.310;1.838.826
2010/Jun;4.654;2.819;16.984;3.350;8.649;7.121;3.216;7.808;4.699;14.193;8.488;7.536;15.738;4.122;5.565;81.157;30.639;4.962;27.033;153.238;22.586;5.104;10.194;9.936;4.376;15.663;41.667;1.494.303;2.015.800
2010/Jul;4.087;2.500;20.922;4.128;11.110;3.243;3.046;7.942;5.819;13.219;9.224;7.404;13.169;7.909;5.770;30.902;29.209;4.374;29.555;112.696;20.406;4.542;12.391;9.171;4.432;19.357;32.646;1.434.718;1.863.891
2010/Ago;4.314;3.311;25.070;3.466;10.878;3.096;3.315;8.534;4.688;15.227;10.113;6.958;15.477;10.979;8.350;47.233;30.548;2.895;31.009;145.435;21.862;4.662;13.530;9.148;3.969;21.097;39.233;1.619.839;2.124.236
2010/Set;4.298;3.147;24.885;4.364;8.644;2.806;2.994;8.276;5.018;78.683;6.256;5.246;10.293;8.334;6.604;23.352;29.569;5.797;27.710;145.623;17.572;3.850;7.473;8.356;5.491;17.305;39.006;1.459.753;1.970.705
2010/Out;5.021;3.457;24.283;5.127;11.668;4.936;3.960;10.185;7.996;32.876;6.898;5.160;16.209;11.847;6.724;26.681;35.880;5.227;72.989;150.761;24.730;3.731;15.315;7.389;6.846;17.712;37.237;1.658.073;2.218.918
2010/Nov;6.023;4.228;27.066;4.481;13.058;5.369;4.794;14.395;11.044;42.141;9.924;5.925;19.829;15.245;4.763;26.059;27.719;4.124;87.541;180.945;32.262;6.595;13.981;14.210;8.695;26.680;40.679;1.934.888;2.592.663
2010/Dez;6.471;5.530;34.081;5.039;13.892;4.334;3.787;14.016;9.620;29.741;9.713;7.053;19.490;13.136;6.072;29.249;26.273;5.164;77.409;153.454;23.974;5.046;18.833;11.473;7.900;20.268;48.120;1.857.077;2.466.215
